genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date
Staphylococcus,aureus,ERR030189,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030191,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030193,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030194,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030197,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030201,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030202,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030204,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030210,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030213,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030214,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030215,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030222,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030226,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030231,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030234,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030238,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030239,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030241,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030242,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030244,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030245,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030246,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030247,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030250,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030251,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030252,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030253,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030254,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030258,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030265,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030268,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030270,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030276,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030277,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030278,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030280,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030281,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR031661,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR031665,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR031670,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Streptococcus,pneumoniae,ERR051794,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,NA,Otitis media,USA,NA
Streptococcus,pneumoniae,ERR051801,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Bacteremia,USA,NA
Streptococcus,pneumoniae,ERR051829,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,24957517,Meningitis,USA,NA
Streptococcus,pneumoniae,ERR051833,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,24957517,Bacteremia,USA,NA
Streptococcus,pneumoniae,ERR051858,Resistant,ERY,NA,8,mg/L,Broth dilution,NA,CLSI,2013,NA,Bacteremia,USA,NA
Streptococcus,pneumoniae,ERR051871,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Arthritis,USA,NA
Streptococcus,pneumoniae,ERR051878,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Sepsis,USA,NA
Streptococcus,pneumoniae,ERR051896,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,China,NA
Streptococcus,pneumoniae,ERR051902,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,China,NA
Streptococcus,pneumoniae,ERR051924,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,24957517,NA,Oman,NA
