dataset,accession,assembly_path,status
training,ERR051871,data/camda_amr_2025/processed/assemblies/train/ERR051871.fasta,missing
training,ERR051878,data/camda_amr_2025/processed/assemblies/train/ERR051878.fasta,missing
training,ERR051896,data/camda_amr_2025/processed/assemblies/train/ERR051896.fasta,missing
training,ERR051902,data/camda_amr_2025/processed/assemblies/train/ERR051902.fasta,missing
training,ERR051924,data/camda_amr_2025/processed/assemblies/train/ERR051924.fasta,missing
training,ERR051930,data/camda_amr_2025/processed/assemblies/train/ERR051930.fasta,missing
training,ERR051948,data/camda_amr_2025/processed/assemblies/train/ERR051948.fasta,missing
training,ERR051978,data/camda_amr_2025/processed/assemblies/train/ERR051978.fasta,missing
training,ERR051982,data/camda_amr_2025/processed/assemblies/train/ERR051982.fasta,missing
training,ERR051990,data/camda_amr_2025/processed/assemblies/train/ERR051990.fasta,missing
training,ERR051993,data/camda_amr_2025/processed/assemblies/train/ERR051993.fasta,missing
training,ERR051994,data/camda_amr_2025/processed/assemblies/train/ERR051994.fasta,missing
training,ERR051995,data/camda_amr_2025/processed/assemblies/train/ERR051995.fasta,missing
training,ERR051996,data/camda_amr_2025/processed/assemblies/train/ERR051996.fasta,missing
training,ERR051999,data/camda_amr_2025/processed/assemblies/train/ERR051999.fasta,missing
training,ERR052017,data/camda_amr_2025/processed/assemblies/train/ERR052017.fasta,missing
training,ERR052023,data/camda_amr_2025/processed/assemblies/train/ERR052023.fasta,missing
training,ERR052024,data/camda_amr_2025/processed/assemblies/train/ERR052024.fasta,missing
training,ERR052039,data/camda_amr_2025/processed/assemblies/train/ERR052039.fasta,missing
training,ERR052325,data/camda_amr_2025/processed/assemblies/train/ERR052325.fasta,missing
training,ERR052331,data/camda_amr_2025/processed/assemblies/train/ERR052331.fasta,missing
training,ERR052438,data/camda_amr_2025/processed/assemblies/train/ERR052438.fasta,missing
training,ERR052464,data/camda_amr_2025/processed/assemblies/train/ERR052464.fasta,missing
training,ERR052465,data/camda_amr_2025/processed/assemblies/train/ERR052465.fasta,missing
training,ERR052466,data/camda_amr_2025/processed/assemblies/train/ERR052466.fasta,missing
training,ERR052467,data/camda_amr_2025/processed/assemblies/train/ERR052467.fasta,missing
training,ERR052526,data/camda_amr_2025/processed/assemblies/train/ERR052526.fasta,missing
training,ERR053008,data/camda_amr_2025/processed/assemblies/train/ERR053008.fasta,missing
training,ERR053016,data/camda_amr_2025/processed/assemblies/train/ERR053016.fasta,missing
training,ERR053018,data/camda_amr_2025/processed/assemblies/train/ERR053018.fasta,missing
training,ERR053022,data/camda_amr_2025/processed/assemblies/train/ERR053022.fasta,missing
training,ERR053025,data/camda_amr_2025/processed/assemblies/train/ERR053025.fasta,missing
training,ERR053031,data/camda_amr_2025/processed/assemblies/train/ERR053031.fasta,missing
training,ERR053032,data/camda_amr_2025/processed/assemblies/train/ERR053032.fasta,missing
training,ERR053034,data/camda_amr_2025/processed/assemblies/train/ERR053034.fasta,missing
training,ERR053035,data/camda_amr_2025/processed/assemblies/train/ERR053035.fasta,missing
training,ERR053039,data/camda_amr_2025/processed/assemblies/train/ERR053039.fasta,missing
training,ERR053046,data/camda_amr_2025/processed/assemblies/train/ERR053046.fasta,missing
training,ERR065293,data/camda_amr_2025/processed/assemblies/train/ERR065293.fasta,missing
training,ERR065294,data/camda_amr_2025/processed/assemblies/train/ERR065294.fasta,missing
training,ERR065295,data/camda_amr_2025/processed/assemblies/train/ERR065295.fasta,missing
training,ERR065296,data/camda_amr_2025/processed/assemblies/train/ERR065296.fasta,missing
training,ERR065297,data/camda_amr_2025/processed/assemblies/train/ERR065297.fasta,missing
training,ERR065300,data/camda_amr_2025/processed/assemblies/train/ERR065300.fasta,missing
training,ERR065301,data/camda_amr_2025/processed/assemblies/train/ERR065301.fasta,missing
training,ERR065304,data/camda_amr_2025/processed/assemblies/train/ERR065304.fasta,missing
training,ERR065307,data/camda_amr_2025/processed/assemblies/train/ERR065307.fasta,missing
training,ERR065309,data/camda_amr_2025/processed/assemblies/train/ERR065309.fasta,missing
training,ERR065310,data/camda_amr_2025/processed/assemblies/train/ERR065310.fasta,missing
training,ERR065311,data/camda_amr_2025/processed/assemblies/train/ERR065311.fasta,missing
training,ERR065312,data/camda_amr_2025/processed/assemblies/train/ERR065312.fasta,missing
training,ERR065314,data/camda_amr_2025/processed/assemblies/train/ERR065314.fasta,missing
training,ERR065316,data/camda_amr_2025/processed/assemblies/train/ERR065316.fasta,missing
training,ERR065317,data/camda_amr_2025/processed/assemblies/train/ERR065317.fasta,missing
training,ERR065318,data/camda_amr_2025/processed/assemblies/train/ERR065318.fasta,missing
training,ERR065320,data/camda_amr_2025/processed/assemblies/train/ERR065320.fasta,missing
training,ERR065325,data/camda_amr_2025/processed/assemblies/train/ERR065325.fasta,missing
training,ERR065326,data/camda_amr_2025/processed/assemblies/train/ERR065326.fasta,missing
training,ERR065327,data/camda_amr_2025/processed/assemblies/train/ERR065327.fasta,missing
training,ERR065328,data/camda_amr_2025/processed/assemblies/train/ERR065328.fasta,missing
training,ERR065332,data/camda_amr_2025/processed/assemblies/train/ERR065332.fasta,missing
training,ERR065337,data/camda_amr_2025/processed/assemblies/train/ERR065337.fasta,missing
training,ERR065339,data/camda_amr_2025/processed/assemblies/train/ERR065339.fasta,missing
training,ERR065340,data/camda_amr_2025/processed/assemblies/train/ERR065340.fasta,missing
training,ERR065342,data/camda_amr_2025/processed/assemblies/train/ERR065342.fasta,missing
training,ERR065344,data/camda_amr_2025/processed/assemblies/train/ERR065344.fasta,missing
training,ERR065348,data/camda_amr_2025/processed/assemblies/train/ERR065348.fasta,missing
training,ERR065352,data/camda_amr_2025/processed/assemblies/train/ERR065352.fasta,missing
training,ERR065353,data/camda_amr_2025/processed/assemblies/train/ERR065353.fasta,missing
training,ERR065355,data/camda_amr_2025/processed/assemblies/train/ERR065355.fasta,missing
training,ERR065953,data/camda_amr_2025/processed/assemblies/train/ERR065953.fasta,missing
training,ERR065958,data/camda_amr_2025/processed/assemblies/train/ERR065958.fasta,missing
training,ERR065959,data/camda_amr_2025/processed/assemblies/train/ERR065959.fasta,missing
training,ERR065964,data/camda_amr_2025/processed/assemblies/train/ERR065964.fasta,missing
training,ERR065969,data/camda_amr_2025/processed/assemblies/train/ERR065969.fasta,missing
training,ERR065971,data/camda_amr_2025/processed/assemblies/train/ERR065971.fasta,missing
training,ERR067960,data/camda_amr_2025/processed/assemblies/train/ERR067960.fasta,missing
training,ERR067961,data/camda_amr_2025/processed/assemblies/train/ERR067961.fasta,missing
training,ERR067962,data/camda_amr_2025/processed/assemblies/train/ERR067962.fasta,missing
training,ERR067963,data/camda_amr_2025/processed/assemblies/train/ERR067963.fasta,missing
training,ERR067966,data/camda_amr_2025/processed/assemblies/train/ERR067966.fasta,missing
training,ERR067967,data/camda_amr_2025/processed/assemblies/train/ERR067967.fasta,missing
training,ERR067969,data/camda_amr_2025/processed/assemblies/train/ERR067969.fasta,missing
training,ERR067970,data/camda_amr_2025/processed/assemblies/train/ERR067970.fasta,missing
training,ERR067974,data/camda_amr_2025/processed/assemblies/train/ERR067974.fasta,missing
training,ERR067975,data/camda_amr_2025/processed/assemblies/train/ERR067975.fasta,missing
training,ERR067976,data/camda_amr_2025/processed/assemblies/train/ERR067976.fasta,missing
training,ERR067978,data/camda_amr_2025/processed/assemblies/train/ERR067978.fasta,missing
training,ERR067979,data/camda_amr_2025/processed/assemblies/train/ERR067979.fasta,missing
training,ERR067982,data/camda_amr_2025/processed/assemblies/train/ERR067982.fasta,missing
training,ERR067983,data/camda_amr_2025/processed/assemblies/train/ERR067983.fasta,missing
training,ERR067985,data/camda_amr_2025/processed/assemblies/train/ERR067985.fasta,missing
training,ERR067986,data/camda_amr_2025/processed/assemblies/train/ERR067986.fasta,missing
training,ERR067988,data/camda_amr_2025/processed/assemblies/train/ERR067988.fasta,missing
training,ERR067990,data/camda_amr_2025/processed/assemblies/train/ERR067990.fasta,missing
training,ERR067995,data/camda_amr_2025/processed/assemblies/train/ERR067995.fasta,missing
training,ERR067998,data/camda_amr_2025/processed/assemblies/train/ERR067998.fasta,missing
training,ERR067999,data/camda_amr_2025/processed/assemblies/train/ERR067999.fasta,missing
training,ERR068000,data/camda_amr_2025/processed/assemblies/train/ERR068000.fasta,missing
training,ERR068001,data/camda_amr_2025/processed/assemblies/train/ERR068001.fasta,missing
training,ERR068003,data/camda_amr_2025/processed/assemblies/train/ERR068003.fasta,missing
training,ERR068004,data/camda_amr_2025/processed/assemblies/train/ERR068004.fasta,missing
training,ERR068005,data/camda_amr_2025/processed/assemblies/train/ERR068005.fasta,missing
training,ERR068007,data/camda_amr_2025/processed/assemblies/train/ERR068007.fasta,missing
training,ERR068012,data/camda_amr_2025/processed/assemblies/train/ERR068012.fasta,missing
training,ERR068019,data/camda_amr_2025/processed/assemblies/train/ERR068019.fasta,missing
training,ERR068021,data/camda_amr_2025/processed/assemblies/train/ERR068021.fasta,missing
training,ERR068023,data/camda_amr_2025/processed/assemblies/train/ERR068023.fasta,missing
training,ERR068026,data/camda_amr_2025/processed/assemblies/train/ERR068026.fasta,missing
training,ERR068028,data/camda_amr_2025/processed/assemblies/train/ERR068028.fasta,missing
training,ERR068029,data/camda_amr_2025/processed/assemblies/train/ERR068029.fasta,missing
training,ERR068030,data/camda_amr_2025/processed/assemblies/train/ERR068030.fasta,missing
training,ERR068031,data/camda_amr_2025/processed/assemblies/train/ERR068031.fasta,missing
training,ERR068032,data/camda_amr_2025/processed/assemblies/train/ERR068032.fasta,missing
training,ERR068033,data/camda_amr_2025/processed/assemblies/train/ERR068033.fasta,missing
training,ERR068035,data/camda_amr_2025/processed/assemblies/train/ERR068035.fasta,missing
training,ERR068036,data/camda_amr_2025/processed/assemblies/train/ERR068036.fasta,missing
training,ERR068038,data/camda_amr_2025/processed/assemblies/train/ERR068038.fasta,missing
training,ERR068039,data/camda_amr_2025/processed/assemblies/train/ERR068039.fasta,missing
training,ERR068043,data/camda_amr_2025/processed/assemblies/train/ERR068043.fasta,missing
training,ERR068044,data/camda_amr_2025/processed/assemblies/train/ERR068044.fasta,missing
training,ERR068046,data/camda_amr_2025/processed/assemblies/train/ERR068046.fasta,missing
training,ERR068049,data/camda_amr_2025/processed/assemblies/train/ERR068049.fasta,missing
training,ERR069683,data/camda_amr_2025/processed/assemblies/train/ERR069683.fasta,missing
training,ERR069691,data/camda_amr_2025/processed/assemblies/train/ERR069691.fasta,missing
training,ERR069693,data/camda_amr_2025/processed/assemblies/train/ERR069693.fasta,missing
training,ERR069694,data/camda_amr_2025/processed/assemblies/train/ERR069694.fasta,missing
training,ERR069698,data/camda_amr_2025/processed/assemblies/train/ERR069698.fasta,missing
training,ERR069699,data/camda_amr_2025/processed/assemblies/train/ERR069699.fasta,missing
training,ERR069700,data/camda_amr_2025/processed/assemblies/train/ERR069700.fasta,missing
training,ERR069704,data/camda_amr_2025/processed/assemblies/train/ERR069704.fasta,missing
training,ERR069705,data/camda_amr_2025/processed/assemblies/train/ERR069705.fasta,missing
training,ERR069706,data/camda_amr_2025/processed/assemblies/train/ERR069706.fasta,missing
training,ERR069707,data/camda_amr_2025/processed/assemblies/train/ERR069707.fasta,missing
training,ERR069708,data/camda_amr_2025/processed/assemblies/train/ERR069708.fasta,missing
training,ERR069709,data/camda_amr_2025/processed/assemblies/train/ERR069709.fasta,missing
training,ERR069710,data/camda_amr_2025/processed/assemblies/train/ERR069710.fasta,missing
training,ERR069712,data/camda_amr_2025/processed/assemblies/train/ERR069712.fasta,missing
training,ERR069713,data/camda_amr_2025/processed/assemblies/train/ERR069713.fasta,missing
training,ERR069714,data/camda_amr_2025/processed/assemblies/train/ERR069714.fasta,missing
training,ERR069716,data/camda_amr_2025/processed/assemblies/train/ERR069716.fasta,missing
training,ERR069720,data/camda_amr_2025/processed/assemblies/train/ERR069720.fasta,missing
training,ERR069724,data/camda_amr_2025/processed/assemblies/train/ERR069724.fasta,missing
training,ERR069725,data/camda_amr_2025/processed/assemblies/train/ERR069725.fasta,missing
training,ERR069732,data/camda_amr_2025/processed/assemblies/train/ERR069732.fasta,missing
