genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date,conflict_kind
Streptococcus,pneumoniae,ERR016723,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Nasopharynx,Denmark,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016723,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,Denmark,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016733,Susceptible,ERY,NA,0.12,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Germany,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016733,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Germany,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016733,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Germany,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016733,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Germany,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016733,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Swab,Germany,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016733,Intermediate,ERY,NA,0.5,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Spain,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016785,Resistant,ERY,NA,3,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA,measurement
Streptococcus,pneumoniae,ERR016785,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood & CSF,South Africa,NA,measurement
Streptococcus,pneumoniae,ERR016837,Susceptible,ERY,NA,0.06,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Germany,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016837,Susceptible,ERY,NA,0.06,mg/L,Broth dilution,NA,CLSI,2013,NA,CSF,Germany,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016837,Susceptible,ERY,NA,0.06,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Germany,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016837,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,CSF,Germany,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016837,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Germany,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016850,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR016850,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR016850,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR016850,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR016850,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR016850,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR016850,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR019700,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Viet Nam,NA,measurement
Streptococcus,pneumoniae,ERR019700,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Viet Nam,NA,measurement
Streptococcus,pneumoniae,ERR019713,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR019713,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR019713,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR019713,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR019724,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR019724,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR019724,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,measurement
Streptococcus,pneumoniae,ERR023428,Susceptible,ERY,<=,0.125,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,United Kingdom,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR023428,Susceptible,ERY,<=,0.125,mg/L,Broth dilution,NA,CLSI,2013,NA,Nasopharynx,United Kingdom,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR023428,Susceptible,ERY,<=,0.125,mg/L,Broth dilution,NA,CLSI,2013,NA,Nasopharynx,United Kingdom,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR023428,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR023428,Resistant,ERY,NA,1,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,United Kingdom,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR023450,Susceptible,ERY,<=,0.125,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,United Kingdom,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR023450,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,United Kingdom,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR023450,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,United Kingdom,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR023450,Resistant,ERY,NA,8,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Georgia,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR024224,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024224,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024224,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024224,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024224,Resistant,ERY,NA,1,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024226,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024226,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024226,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024226,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024226,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024227,Resistant,ERY,NA,1,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024227,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024227,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024228,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024228,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024228,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024228,Resistant,ERY,NA,1,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024229,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024229,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024230,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024230,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024230,Resistant,ERY,NA,1,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024230,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024230,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024230,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024231,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024231,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024233,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024233,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024233,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024233,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024233,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024233,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024234,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024234,Resistant,ERY,NA,1,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024234,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024234,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024234,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024235,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024235,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024236,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024236,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024236,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024236,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024236,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA,measurement
Streptococcus,pneumoniae,ERR024271,Resistant,ERY,NA,1,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Canada,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR024271,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Canada,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR024271,Intermediate,ERY,NA,0.5,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Canada,NA,phenotype;measurement
Staphylococcus,aureus,ERR029341,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA,phenotype
Staphylococcus,aureus,ERR029341,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA,phenotype
Staphylococcus,aureus,ERR029341,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA,phenotype
Staphylococcus,aureus,ERR029354,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA,phenotype
Staphylococcus,aureus,ERR029354,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA,phenotype
Staphylococcus,aureus,ERR029468,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA,phenotype
Staphylococcus,aureus,ERR029468,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA,phenotype
Neisseria,gonorrhoeae,ERR191801,Susceptible,TET,NA,0.25,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,phenotype;measurement
Neisseria,gonorrhoeae,ERR191801,Resistant,TET,NA,2,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,phenotype;measurement
Neisseria,gonorrhoeae,ERR191804,Resistant,TET,NA,2,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,measurement
Neisseria,gonorrhoeae,ERR191804,Resistant,TET,NA,4,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,measurement
Neisseria,gonorrhoeae,ERR191823,Resistant,TET,NA,2,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,measurement
Neisseria,gonorrhoeae,ERR191823,Resistant,TET,NA,4,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,measurement
Neisseria,gonorrhoeae,ERR222902,Resistant,TET,NA,2,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,phenotype;measurement
Neisseria,gonorrhoeae,ERR222902,Intermediate,TET,NA,1,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,phenotype;measurement
Neisseria,gonorrhoeae,ERR223616,Resistant,TET,NA,4,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,phenotype;measurement
Neisseria,gonorrhoeae,ERR223616,Intermediate,TET,NA,1,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,phenotype;measurement
Neisseria,gonorrhoeae,ERR223636,Resistant,TET,NA,2,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,measurement
Neisseria,gonorrhoeae,ERR223636,Resistant,TET,NA,4,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,measurement
Neisseria,gonorrhoeae,ERR223664,Resistant,TET,NA,4,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,measurement
Neisseria,gonorrhoeae,ERR223664,Resistant,TET,NA,2,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,measurement
Neisseria,gonorrhoeae,ERR223668,Susceptible,TET,NA,0.25,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,phenotype;measurement
Neisseria,gonorrhoeae,ERR223668,Intermediate,TET,NA,0.5,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,phenotype;measurement
Neisseria,gonorrhoeae,ERR223695,Resistant,TET,NA,4,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,measurement
Neisseria,gonorrhoeae,ERR223695,Resistant,TET,NA,2,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,measurement
Neisseria,gonorrhoeae,ERR223696,Susceptible,TET,NA,0.25,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,phenotype;measurement
Neisseria,gonorrhoeae,ERR223696,Resistant,TET,NA,4,mg/L,Broth dilution,NA,CLSI,2013,24462211,urethra,USA,NA,phenotype;measurement
Escherichia,coli,SRR2134681,Susceptible,GEN,<=,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,blood,USA,NA,phenotype;measurement
Escherichia,coli,SRR2134681,Resistant,GEN,NA,20,mm,Disk diffusion,NA,CLSI,2013,NA,blood,USA,NA,phenotype;measurement
Salmonella,enterica,SRR2567122,Susceptible,GEN,NA,0.5,mg/L,Broth dilution,Sensititre,CLSI,2013,30333126,Chicken Breast,USA,NA,measurement
Salmonella,enterica,SRR2567122,Susceptible,GEN,=,0.5,mg/L,Broth dilution,NA,CLSI,2013,27381390,Chicken Breast,USA,NA,measurement
Acinetobacter,baumannii,SRR2916633,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,23812239,leg,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR2916633,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,23812239,leg,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131162,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131162,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131162,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131165,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131165,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131209,Susceptible,CAZ,=,8,mg/L,Broth dilution,MicroScan,CLSI,2013,NA,Wound,USA,NA,measurement
Acinetobacter,baumannii,SRR3131209,Susceptible,CAZ,=,4,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,Wound,USA,NA,measurement
Acinetobacter,baumannii,SRR3131209,Susceptible,CAZ,=,4,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,Wound,USA,NA,measurement
Acinetobacter,baumannii,SRR3131209,Susceptible,CAZ,=,8,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,measurement
Acinetobacter,baumannii,SRR3131209,Susceptible,CAZ,=,8,mg/L,Broth dilution,MicroScan,CLSI,2013,NA,Wound,USA,NA,measurement
Acinetobacter,baumannii,SRR3131209,Susceptible,CAZ,=,8,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,measurement
Acinetobacter,baumannii,SRR3131219,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131219,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131220,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Blood,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131220,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Blood,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131220,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,Blood,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131226,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131226,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131226,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131228,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131228,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131228,Intermediate,CAZ,NA,16,mg/L,Broth dilution,MicroScan,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131234,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Surveillance,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131234,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Surveillance,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3131234,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,Surveillance,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3133099,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Sterile Fluid,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3133099,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,Sterile Fluid,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3137581,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3137581,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3137581,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
Acinetobacter,baumannii,SRR3137587,Resistant,CAZ,NA,64,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,Wound,USA,NA,phenotype;measurement
