genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date
Pseudomonas,aeruginosa,SRR8737435,Susceptible,CAZ,NA,2,mg/L,Broth dilution,NA,CLSI,2013,32048461,NA,Germany,NA
Pseudomonas,aeruginosa,SRR8737442,Intermediate,CAZ,NA,16,mg/L,Broth dilution,NA,CLSI,2013,32048461,NA,Germany,NA
Pseudomonas,aeruginosa,SRR8737489,Resistant,CAZ,NA,128,mg/L,Broth dilution,NA,CLSI,2013,32048461,NA,Germany,NA
Pseudomonas,aeruginosa,SRR8737504,Susceptible,CAZ,NA,1,mg/L,Broth dilution,NA,CLSI,2013,32048461,NA,Germany,NA
Salmonella,enterica,ERR1197666,Resistant,GEN,NA,28,mm,Disk diffusion,NA,CLSI,2013,28931025,NA,Cambodia,NA
Salmonella,enterica,ERR1197669,Resistant,GEN,NA,26,mm,Disk diffusion,NA,CLSI,2013,28931025,NA,Cambodia,NA
Salmonella,enterica,SRR2566877,Susceptible,GEN,=,0.5,mg/L,Broth dilution,NA,CLSI,2013,27381390,Chicken Breast,USA,NA
Salmonella,enterica,SRR2566929,Susceptible,GEN,=,0.5,mg/L,Broth dilution,CMV2AGNF/CMV3AGNF,CLSI,2013,27381390,Pork Chops,USA,NA
Salmonella,enterica,SRR3096080,Susceptible,GEN,NA,0.5,mg/L,Broth dilution,Sensititre,CLSI,2013,30333126,Ground Turkey,USA,NA
Salmonella,enterica,SRR3223097,Resistant,GEN,NA,16,mg/L,Broth dilution,Sensititre,CLSI,2013,30333126,Chicken Breast,USA,NA
Staphylococcus,aureus,ERR029343,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029344,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029345,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029347,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029348,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029379,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Streptococcus,pneumoniae,ERR124308,Susceptible,ERY,NA,0.047,mg/L,Broth dilution,NA,CLSI,2013,23644493,nasopharynx,USA,NA
Streptococcus,pneumoniae,SRR4417290,Susceptible,ERY,<=,0.25,mg/L,Broth dilution,NA,CLSI,2013,28531208,NA,Canada,NA
Streptococcus,pneumoniae,SRR4417363,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,28531208,NA,Canada,NA
Streptococcus,pneumoniae,ERR124227,Susceptible,ERY,NA,0.064,mg/L,Broth dilution,NA,CLSI,2013,23644493,nasopharynx,USA,NA
Streptococcus,pneumoniae,SRR2072233,Resistant,ERY,NA,4,mg/L,Broth dilution,Sensititre,CLSI,2013,NA,NA,NA,NA
